2016-04-09 17:56:24,266 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HW2:HW2:0.0.1-SNAPSHOT @ /Users/kaichenzhang/Documents/CS6200/HW2_2/pom.xml.
2016-04-09 17:56:24,413 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 17:56:24,413 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/main/resources
2016-04-09 17:56:24,414 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 17:56:24,415 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/test/resources
2016-04-09 17:59:14,243 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 17:59:14,244 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2/src/main/resources
2016-04-09 17:59:14,246 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 17:59:14,247 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2/src/test/resources
2016-04-09 18:00:01,592 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:00:01,593 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/main/resources
2016-04-09 18:00:01,595 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:00:01,596 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/test/resources
2016-04-09 18:01:43,771 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:01:43,772 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW1/src/main/resources
2016-04-09 18:01:43,775 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:01:43,776 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW1/src/test/resources
2016-04-09 18:02:03,505 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:02:03,506 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2/src/main/resources
2016-04-09 18:02:03,507 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:02:03,507 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2/src/test/resources
2016-04-09 18:04:25,770 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HW2:HW2:0.0.1-SNAPSHOT @ /Users/kaichenzhang/Documents/CS6200/HW2_2/pom.xml.
2016-04-09 18:04:25,896 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:04:25,898 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/main/resources
2016-04-09 18:04:25,899 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:04:25,899 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/test/resources
2016-04-09 18:06:47,857 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HW2:HW2:0.0.1-SNAPSHOT @ /Users/kaichenzhang/Documents/CS6200/HW2_2/pom.xml.
2016-04-09 18:06:47,983 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:06:47,983 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/main/resources
2016-04-09 18:06:47,984 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:06:47,985 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/test/resources
2016-04-09 18:07:03,636 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HW2:HW2:0.0.1-SNAPSHOT @ /Users/kaichenzhang/Documents/CS6200/HW2_2/pom.xml.
2016-04-09 18:07:03,795 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:07:03,796 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/main/resources
2016-04-09 18:07:03,799 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:07:03,799 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/test/resources
2016-04-09 18:08:01,306 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HW2:HW2:0.0.1-SNAPSHOT @ /Users/kaichenzhang/Documents/CS6200/HW2_2/pom.xml.
2016-04-09 18:08:01,433 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:08:01,434 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/main/resources
2016-04-09 18:08:01,437 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:08:01,437 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/test/resources
2016-04-09 18:08:38,223 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:08:38,224 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/main/resources
2016-04-09 18:08:38,226 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:08:38,226 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/test/resources
2016-04-09 18:08:47,368 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HW2:HW2:0.0.1-SNAPSHOT @ /Users/kaichenzhang/Documents/CS6200/HW2_2/pom.xml.
2016-04-09 18:08:47,505 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:08:47,506 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/main/resources
2016-04-09 18:08:47,507 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:08:47,508 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/test/resources
2016-04-09 18:08:57,205 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HW2:HW2:0.0.1-SNAPSHOT @ /Users/kaichenzhang/Documents/CS6200/HW2_2/pom.xml.
2016-04-09 18:08:57,300 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:08:57,300 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/main/resources
2016-04-09 18:08:57,303 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:08:57,304 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/test/resources
2016-04-09 18:09:01,262 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HW2:HW2:0.0.1-SNAPSHOT @ /Users/kaichenzhang/Documents/CS6200/HW2_2/pom.xml.
2016-04-09 18:09:01,358 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:09:01,359 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/main/resources
2016-04-09 18:09:01,360 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:09:01,360 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/test/resources
2016-04-09 18:09:03,504 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HW2:HW2:0.0.1-SNAPSHOT @ /Users/kaichenzhang/Documents/CS6200/HW2_2/pom.xml.
2016-04-09 18:09:03,646 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:09:03,647 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/main/resources
2016-04-09 18:09:03,652 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:09:03,652 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW2_2/src/test/resources
2016-04-09 18:09:20,021 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:09:20,022 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW3/src/main/resources
2016-04-09 18:09:20,023 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:09:20,024 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW3/src/test/resources
2016-04-09 18:10:14,564 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 18:10:14,564 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW4/src/main/resources
2016-04-09 18:10:14,566 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
